"titles","texts","time.stamp","pushes"
"Re: [新聞]柯文哲:我恨小英,韓讀的書只夠做北農董事長 ","
現在資進黨是怎樣

瘋狂打柯

是不想要柯粉的票了吧

白色力量能夠容納百川原本就有眾多粉絲

資進黨一直打柯

是忘了去年1124的教訓了是吧

沒關係繼續打

明年等著板上狂洗中國台灣




-----
Sent from JPTT on my iPhone

--
 
 
 
 
 
 

--
 ","Wed Jul 17 23:00:25 2019 ","噓 → 推 → 推 → → → 推 → 推 → 推 噓 → 推 噓 → 推 → 噓 推 推 → → 噓 噓 推 噓 噓 → → 噓 噓 → →  "
"[問卦] 驚!!貓貓在跟大象打架??(貓貓陣線)<U+263A> ","
嘻嘻!!
各位陣線好友~30cm金城武~小妹姐們!!
大家~晚上豪!!!!!!<U+263A>

又肆窩~肥象弟啦!!噗噗


最近天7真肆熱!!
肥象窩都流了一堆肥象汗!!
又臭又酸!!噗噗!!!!!!!<U+263A>
就在肥象窩在家吹冷7享受的時候呀!!!
回頭看看窩家ㄉ龍貓弟!!!
什麼!!竟然張開嘴巴要對大象下手!!!??


嘻嘻!!原來肆在跟他的大象玩偶玩啦!!噗噗
龍貓弟一副窩打擾他的樣子!!!<U+263A>


有沒有貓貓跟大象打架ㄉ八卦呀??
還肆他們其實肆好噴油呢???嘻嘻!!<U+263A>

--

肥象弟的兒子!!!龍貓弟!!歡迎進來看看他!!


----貓貓陣線-----------------肉球無限-----
fish12345               jared221
ymx3xc                  dumdumdum
c00823ue                xxoo1199
tony84590(偷尼喵)       adios
wuyiulin                ptyu(喵嗚樂團)
kbdgoreinu(鍵盤果列奴)  SydLrio(狂嵐貓)         cielax                  slighsity
ecila(香宅貓)           calvin0319              akko76815(可愛貓貓大隊長)
eric19990726(懶覺貓)    Eivissa(燕尾服貓)
SexyGirls155(小野貓)    love0504(樂芙貓)
angel2001118            wurara22(烏拉貓貓)
laplacian               pokemonya(皮卡貓)
aynmeow                 kurtc
jacklyl                 teleportcat(轉瞬為喵)
lzlzzzzzz               tommy1113
mokissru                krislin1313(叭哺貓)
chengune(愛貓貓人)      seamen(海超人貓)
foreverlo               jevix(魯貓)
hao134                  lolic(愛貓就要%%)
puretruthson            wWwWw5566
kenny4565
howard0113(夜玥喵)      Chuhar(懶洋洋貓)
jim924211               g6434227
felixden                sunkiss5566(百岳貓)
spark13579              kobebread
peoplecat               EmeraldAZ(小穹喵)
Autumnleaf              haha1989888             AppleMan
sa7220798               ypps5528
dustin79427             dada1120
einejack                niemanman
momo1244                a240daniel
TyrantTex               snoe1119
tommy1113               doraemon8709
gamaqqq                 as159159369
tonyselina              a24573165
DGHG(勸世貓貓)          fight40520
toastemperor            elan1031
DRmischief              fengyu118(結弦喵)
scrotum5566             md183
NICEGOGO(奈絲貓)        ashlee501
orange6764              TyrantTex
fireheart988            ZIbrahimovic
qewadszxc               damasci
WTFK                    xu31i6c16
mokissru                ts05593818
hb9026
paca0713                lrocwin1997
backpackertw(包莖貓)    mpyh12345
getgoods0623            ap954212
ckhshooligan            sevenzgod
virusDA
jackwang01              SMVD
howard24                s8900117
Yuta659                 black1x2y3z(海洋貓)
jaychou515              robbieulb
wendy85625              littleXia
FlynnZhang(城武貓)      fatfinger2
yoji520                 terop
x36023x36023            nichtsicher
cocogg                  kobe30732
otim1010                allenfshot
fly168                  emma789
leaven                  joyus
a35715987               SUZUKI5566(即拔貓)
Jumbo                   EndeNeu
breeze4103              eric13141230            xavier2011
eddie800811             Jerry469
abccat0520              mini7
SilentBob               dustin79427(總匯貓貓)
seabox(盒盒貓)          eereer12325(糞兔兔貓貓)
aha8877                 Extreme5566
minacoco                Seretez
GhostSpace              qwe965512
LipaCat5566             fox875566
peten215                APTON
rairobin                shadaobe
P00832129
qqsscc32                NTUmaki
m2919789                KENGOD0204
HOLDSTEAK               toyota2211
sbflight                heinse
godbar                  qwe04687
rayccccc                Bright
ganynian                spoppy(三小貓)
katsyuan                jumpakira
ckhckht                 system303179
leechiungyi
kiki9823kimo            r74327154
von912                  vtgc161
suileen                 ccunii
coraline413(中二貓)     YuzanJhang
Eunha990                DamonAlbarn(就愛戴蒙貓)
Mrchoco                 Nomis3721
tony20095               johnny5411
momo0419                a2470abc
erichi                  biach4300736
gomow                   cksxxb123
EPGo                    hiyato994
sunyubro                sunshinehoya
may88011                KOGADOU
ohrring                 ZNDL(巴達貓貓)
rosa8545                chaige
uminekosan(海貓)        bonnieee
camus5817(最愛貓外甥)   k4654564
larrylee100             ceylon0614
ASUSboy                 gx9900824(暗黑陰貓)
kero50596               je321654
westnofathou(兔猻喵)    DevilHotel
gold06181618            Bigemma
Lumial020
---------------------------------------
--
剛豪6公斤喔!!!!!!!!!!!!!!
嘻嘻!!真ㄉ肆這樣子沒錯!!!
在縮肥象窩ㄇ??噗噗!!!!!!!!!
龍貓弟感謝ㄋ!!!棒!!!
龍貓弟就肆ㄍ小胖子!!!!讚!!!!!!!!!
感謝城武貓ㄉ支持!!!!!!!!感動!!!
感謝陣線好友ㄉ支持!!!!!!!!!!yaaaaaaaaaaaa
謝謝ㄋ喔!!!!!!!很棒!!!!!!!!!!
豪!!!!!!通通噓起來!!!!!!!!!!!!棒!!
G大的畫作總肆這麼的棒!!!!!!!!!!!!!!龍貓弟一樣被ㄋ畫的帥帥的!!!!
太棒惹!!!!!!!!!!!!!!!!!!!!感動!!!
感謝陣線好友ㄉ支持!!!!!!!!!!!!!!!!!!!!棒!!
肥宅品種!!!!!!!!!!!噗噗!!!
感謝陣線好友ㄉ支持!!!
貓貓在拆禮物ㄇ???很棒!!!!!!!!!!!!!!
感謝就愛戴蒙貓ㄉ支持!!!!!!!!!!讚!!!
都很棒ㄉ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
噗能亂噴唷!!!這樣噗對!!!!!!!!!!!
嘻嘻!!感謝ㄋ!!!!!!!!!!!!!
沒錯!!!!!!肆貓貓!!!!!!!!!!!
沒錯!!肆龍貓弟!!!肥宅龍貓弟!!!!!!!!!!!!!!!!!
龍貓弟吃很飽啦!!!!!!噗噗!!
感謝謝謝!!!!!!!!!!!!!!!!!!!!!!!!
感謝陣線好友ㄉ支持!!!!!!!!!棒!!!
感謝喔!!!!!!!!!!!!!!!!!!!!!!!!!QQQQQQQQQQQQQQ
感謝百岳貓ㄉ支持!!!好~~舔爆龍貓弟!!
感謝陣線好友ㄉ支持!!嘻嘻!!
其實沒有變胖啦!!噗噗!!!!!!!!
感謝陣線好友ㄉ支持!!!!!!!!!ㄘ一波~
沒錯!!!g大師真ㄉ厲害!!!!!!!!!
你這樣龍貓弟會傷心喔!!!!!!!!噗噗
感謝海貓ㄉ支持!!大眼龍貓弟!!肆不肆很棒!!!
感謝香宅貓ㄉ支持!!真ㄉ越來越長惹!!!!!!!!!!!!!!!!!!
 ","Wed Jul 17 23:00:59 2019 ","→ 推 → 推 推 推 → 推 推 噓 推 推 推 推 → 推 推 噓 推 推 推 推 推 推 推 推 推 → 推 推 推 推 推 推 推 推 推 推 推  "
"[問卦] 有哪些縣市近年真的有改變？ ","

我自己先說，基隆
我以前老家在基隆，港口又臭交通又亂
高中畢業，一直到大學大二回去
整個基隆質感上升不知道幾個層次
真的沒想到基隆可以那麼美
我拍照片給搬去其他縣市的家人看，
他們也很驚喜

自己住南部，
倒是沒感覺這幾年有什麼改變

有哪些縣市也是那種明顯有改變的嗎？









--
我認真想了一下，覺得真的有變好
以前公車動線很亂，計程車更是塞爆轉運站，上次回去，小黃的問題明顯減緩很多
基隆真的強，沒想到換個人上台真的差這麼多
我都笑基隆親戚當初鐵票，現在才知道換人的好
 ","Wed Jul 17 23:01:08 2019 ","推 → → → 推 → → → 推 → 推 → → 推 → → 推 推 推 推  "
"Re: [問卦] 有沒有獅子王抄襲森林大帝的卦 發錢 ","


        偷偷告訴你
        其實都是抄「哈姆雷特」
        只是加上了冒險元素  還有給故事一個Happy Ending

        再偷偷告訴你
        手塚治蟲自己都承認他的名作「大都會」是看了Frintz Lang
        同名電影「大都會」來的靈感

        比賽嘛～不就是你做什麼他作什麼，跟跑步、游泳一樣～
        日本漫畫寫實主義畫風盛行的時候，手塚也畫過一堆短篇寫實風作品
        畢竟當年太紅了  稿約接一堆  作品要量產化嘛

        不過  小妹還是手塚迷的啦  哈哈哈～


--
 ","Wed Jul 17 22:44:52 2019 ","→ 推 → →  "
"[問卦] 白海豚跟颱風誰比較會轉彎 ","
白海豚是大家熟之會轉彎的哺乳類動物

這次颱風也是不斷轉彎甩尾

究竟誰比較會轉

有八卦嗎

----
Sent from 

--
 ","Wed Jul 17 22:45:02 2019 ","→ → 推 → → → 推 推 推 推  "
"[問卦] 肥宅剪蛋頭+刺青 就能把到+9妹了嗎? ","
肥宅如果想要把到+9妹
首先先理一顆蛋頭之後再去刺青
左右手臂都要次 還要不小心露出手臂的刺青
然後左右腳的小腿也要刺青

這樣8+9標配就OK了
接著是不是就等著+9妹自動上門哈棒了?

--
其實你很想看我大雞雞的刺青吧  嘻嘻
這要等妹子幫我把衣服脫光才看得到呀!!!!
 ","Wed Jul 17 22:45:18 2019 ","→ → 噓 推 噓 推 → → → 推 推  "
"Re: [問卦] uniqlo的男裝是不是有點宅 ","
比起u泥哭囉我覺得現在穿衣品味都差不多，可以從年紀來看穿搭風格，國中國小都穿盜
版supreme居多

高中到大學生可以看到穿美牌dickies,stussy,thrasher，carhartt,champion等等，當然
還有nike,adidas這類運動品牌

這些牌子走在路上超級容易撞衫，尤其現在一堆潮流賣家不是在ig就是在臉書社團賣，導
致一堆人穿起來風格都差不多

每次逛街看到都覺得跟肥宅穿系服沒兩樣，完全沒特色只是單純把logo穿上去而已

--
 ","Wed Jul 17 22:45:46 2019 ","→ → → 推 → → 推 推 推 推  "
"[問卦] TVBS的地球黃金線的八卦？ ","
因為最近考慮想買一台休旅車

所以看了TVBS的地球黃金線

沒看就算了，一看下去簡直是不能自拔XD

蘇宗怡的美腿，節目上來賓講車也很專業

最重要的是，他們推薦的車子常常打動我的心XD

像今天介紹的重型機車就有一台我有興趣XD

有沒有TVBS的地球黃金線這節目的八卦？

--
Sent from my Android

--
抱歉 ，記錯，已經修改惹
讚!
推絲襪美腿，我也正在看XD
夢想街57號的李冠儀也有很棒的美腿
正在收看中XD
今天是介紹重型機車喔…
好，改天再看看
 ","Wed Jul 17 22:46:00 2019 ","→ → 推 → 推 推 推 推 推 噓 → 推 →  "
"[問卦] 刀疤還沒有刀疤之前叫什麼 ","
如題

刀疤是因為臉上有刀疤所以才叫刀疤

那刀疤還沒有刀疤之前叫什麼

還是因為刀疤被命名為刀疤所以才在臉上弄一個刀疤

有沒有刀疤的八卦

--
我跟你講辛巴會被狒狒舉起來
 ","Wed Jul 17 22:46:25 2019 ","→ → → 推 → 推 推 → 推 推 噓 噓 推 推 噓 → 噓 推 噓 噓 → → 噓 噓 → 推 → → 推 推  "
"Re: [新聞] 海委會「裝幽默」貼文惹怒極限運動族群 ","

法規擺在那邊
也沒說你今天早上不能衝
是在說你不該下去的時間就是不能下去


嗯好你技術好
你保證所有下水的技術都好？


從頭到尾就只是告訴你
管制時段不該下水的時候就不要下水
很難懂？
平常沒發警報也會有浪大的時候可以理解
可是這篇原本就是在討論管制時段


把妹送命機率不會那麼高啦
颱風天發布警報就是不能衝
你會在妹子大怒的時候去撩她嗎
那你失敗了不說你活該說誰活該
你邏輯跟斷繩一樣失敗嗎

到底你們這種人是在崩潰什麼
再重申一次
從頭到尾就是告訴你

你扯到天邊的那些東西干大家屁事
你喜歡大浪你不會自己賭沒管制的時段？
你覺得所有事都有風險

你不知道只要有人在海邊不見了
所有救難人員都要「盡工作義務」去救人
不只是衝浪客，所有人都是
但就你愛浪愛到抓不到重點的第一個跳出來7pupu
還講的那麼理直氣壯

玉山雪季也是山友嚮往的啊
可是雪季也有雪季管制啊
山友都沒在叫了你是在該三小
對啦
就你們出事不會浪費國家資源啦

不要以為在台灣你出事有辦法「全部自行負責」
懂？
就算你願意出錢
還是有一堆人又救難義務不能逃避


這樣懂嗎？

--
 ","Wed Jul 17 22:46:57 2019 ","推 推 → 推 推 推 推 推 推 推 推 推 推  "
"[新聞] 無法接地氣 錢櫃大陸夢碎 ","
無法接地氣 錢櫃大陸夢碎

旺報

04:09 2019/07/17 旺報 吳佳晉


翻開錢櫃在大陸的發展史，這家曾經在大陸擁有19家門市的KTV龍頭，最風光時期每月營
收高達500萬（人民幣，下同）但自從2008年練台生「逼宮」原錢櫃董事長劉英後，錢櫃
開始由盛轉衰，在不斷縮減成本、跟不上年輕潮流等利空夾擊之下，2014年起，錢櫃門市
一家一家收，一年關掉13家。2018年報告顯示，錢櫃大陸事業占比幾乎降為零，練台生使
手段逼宮，接手後做不起來，最後黯然退場。名嘴邱毅曾封練台生「兩面台商」，但是錢
櫃大陸夢碎，印證「練台生沒有邱毅說得那麼神」。

1995年1月，大陸第一家錢櫃進駐上海靜安寺，以每小時數百元包廂費、加上酒水動輒破
千人民幣的頂級消費，迅速擄獲好奇嚐鮮的上海人的心，靜安店一砲而紅。錢櫃2000年進
軍北京，第一家門店在朝外開業，北京青年趨之若鶩，1995年到2005年，錢櫃不只是KTV
，而是「高大上」的象徵。


根據《環球娛樂》報導，2008年是錢櫃由盛轉衰的開始。2006年，練台生成為年代電視董
事長、錢櫃的股東；2008年，練台生認為錢櫃擴張太快、成本太高，聯手其他投資人，趕
走原錢櫃創始人劉英。接收錢櫃的練台生，使出大改革的絕招就是「cost down」，他先
大幅減薪，當時錢櫃的中層員工，薪水平均降3到5成不等，核心員工紛紛出走。陸媒指出
，練台生不願投錢更新設備和系統，大幅關店裁員，降低產品和服務品質，最後，錢櫃失
去核心競爭力，徒有高價格卻沒有好服務，把顧客越推越遠，最後關門打烊、賣掉品牌，
一點也不意外。

陸媒指出，錢櫃現在八零後、九零後的心裡，是「老派人才會去的地方」，年輕人都上抖
音，連大媽都用「全民K歌」APP在公園練歌；錢櫃裹足不前，跟不上時代年輕潮流，更是
錢櫃被大陸消費者摒棄的原因。

另據了解錢櫃運作的台商透露，練台生接掌錢櫃後，很少去大陸，印象裡，只在上海見過
他一、兩次，錢櫃的大陸業務基本上都丟給台灣幹部處理，因此，當卡拉OK的市場發生重
大變化時，錢櫃的經營團隊根本措手不及，結果是一敗塗地。前國民黨立委邱毅曾在臉書
發文，點名媒體大亨練台生是「兩面台商」，就是既在大陸投資賺錢，但一回台灣，就換
了張臉，不僅用資金支持「台獨」，還公開高唱「台獨」。不過，從錢櫃敗逃大陸市場來
看，練台生似乎沒有邱毅說得這麼神。

(旺報)

--
 ","Wed Jul 17 22:47:05 2019 ","噓 → 噓 → → → 推 → → → → → → 推 → 推 噓 推 → → → 推 → → 推 → → 噓 → → → → → → → → → 噓 噓 噓 推 → → → 推  "
"Re: [問卦] 咪妃這張素顏算是什麼等級？ ","

要比就要把台灣水管女生素顏一起來比

不過比這個有意思嗎？沒有意義吧

我覺得一個女孩兒重點是她的氣質跟內涵

咪妃其實是一個很漂亮的女孩兒

她以前在外拍時我朋友有找我去拍

不過當時我沒有去 0.0

但說到台灣水管 咪妃不是我心中的最愛

我最喜歡的是輔大高材生 滴妹

滴妹就像是鄰家的大姊姊一樣

不管怎麼樣都會對著你笑 講話很溫柔

所以我的最愛就是滴妹

在我心中滴妹是100分 其他的我就不知道了

懂？

--
 ","Wed Jul 17 22:47:34 2019 ","推 推 → 噓 → 推 推 推 → 推 → 推  "
"[問卦] 香港現在還適合去旅遊嗎？ ","
乳緹
朋友好幾個月前就買了前往香港的機票
哪知道遇到了抗議
現在又有颱風，還好往北了
不過還是很擔心這兩天去香港玩會不會有什麼問題
有沒有現在去香港旅遊安不安全的八卦

--
 ","Wed Jul 17 22:48:49 2019 ","推 → 噓 推 推 → 推 推 → → 推 推  "
"[問卦] 如果只有這三人能選，大家會選誰？ ","
如果有一天 天神給你一個願望

就是能穿越到金庸的小說中

當一日角色

但只能選游坦之、宋青書、林平之

這三個角色 三選一

如果都不選天神會給予懲罰

就是看著冰冰洗澡的同時被館長肛

大家會選誰？

五樓三重林平之

--
 ","Wed Jul 17 22:50:16 2019 ","→ 推 推 推 推 → 推 推  "
"Re: [新聞]柯文哲:我恨小英,韓讀的書只夠做北農董事長 ","
現在柯粉還要在那邊騙自己柯文哲只是想玩藍綠  不是真的想選總統
柯文哲自己都開口自己就真的想選了不是？

舉離去年1124不到三個月就開始一直放風聲想選總統  該準備就準備
哇靠超屌的  他到底是選市長還是選？
然後利用市府資源訪日訪美訪中  美其名說是參訪
結果回台灣一直宣傳自己是去那些地方讓該國認同柯文哲
我應該沒有搞錯什麼吧？不是說是去搞市政參訪
怎麼柯文哲口中變成出去讓柯文哲交朋友搞自己的政治實力

我以前是柯粉  沒錯  鐵的要死
但是從柯文哲動念要中離選總統  我就是他媽的柯黑
明明就想選的要死  裝什麼裝


柯文哲你參選的第一天  請你他媽的給我滾出北市府


--
現在不到半年全國跑透透  真棒呢  上一任怎麼沒看他這麼勤勞跑外面縣市
半年跑完四年份


他被逼了什麼？


糙他媽的最不爽的是他昨天還有臉要當到最後兩個禮拜再『請假』
要選就滾好嗎？

我原本以為他會讓藍綠亂成一團的當下變成穩定的力量
2024在混沌的局面以超越藍綠的力量進入

結果現在變成添柴火大家一起燃燒台灣政局的人

唉  柯文哲自己都說勞跑不是一個正常的國家該有的
結果他還整天想著要勞跑  不正常國家他是不是也推了一把？
我怕啥？
變成自己口中的政客是他又不是我
看到政客罵兩句不行？

我有說過我不是柯黑？


那些噓錯人的死全家


看誰最希望柯文哲出來就是什麼人囉

我覺得他是綠柯粉ㄟ

自己都要勞跑了還在那邊說勞跑是不正常國家  但是我想勞跑去選總統
而且還要撐到最後一天再請假  喔耶
然後再來扯台北市一天沒他不行

韓：不辭市長
柯：最後兩個禮拜再請假就好

我幹嘛要買單烙跑市長？
我他媽犯賤捐錢又投票又熬夜嗎糙

說真的  如果他真的如他口中所說的憂國憂民
那他去算計誰出線才要出來選是算什麼？

憂國憂民就義無反顧出來選了阿  人民第一阿
結果憂國憂民的同時還要先算一下





你裡面有看到我稱讚小英的內容？？


那你要來跟我對賭什麼嗎？

我也沒後悔投他  我只是不爽

來  條件開出來  我們來對賭我有沒有換手
用最簡單的東西來查就好了  要不要？ 一萬元  兩萬元？


柯文哲就剩這些支持者嗎？

所以你當時也選擇跟著抹黑蔡衍榮我知道阿
我有罵他怠惰市政嗎？ 是不是心虛

那民進黨人收蔡家的錢要不要算賣台一份？

就說柯文哲都剩下這些支持者 唉

所以小英游錫昆也收蔡衍榮的錢要不要算賣台一份嘛  你扯那麼遠幹嘛
 ","Wed Jul 17 22:50:33 2019 ","→ 噓 → 推 推 推 → 噓 推 → → → → 推 → 推 推 推 → 推 推 推 噓 推 推 → 推 推 → → → 噓 噓 推 → 推 → 推 推 噓 → → → → → 推 → 推 → 推 推 推 → 推 推 → → → → → 推 噓 → 推 噓 → 推 推 → 噓 → → → 推 推 噓 噓 噓 噓 → → 推 → 噓 → 推 → 噓 → → → 推 → 推 → 推 → → 噓 → → → 推 推 噓 → 推 → → → 推 → 推 → → 推 → → → → → 噓 → 推 → → 噓 → → 推 → → 噓 噓 → → 推 → 推 推 → → → 推 → 推 推 → 推 推 → 噓 推 噓 噓 噓 → → → → → 推 推 推 → → 噓 推 → 推 推 → → 噓 → 推 噓 推 → → → → → 推 → → 推 → 推 噓 推 推 噓 → → → → 推 推 → 推 推 推 噓 → 推 → 推 推 噓 推 推 → → 推 → → 推 → 噓 推 → → → 噓 噓 → 推 推 → 推 推 推 推 → → → → 推 → 噓 推 → → 噓 → → → → → → 推 推 噓 → → → → → → → 推 → 推 推 → 噓 推 噓 → 推 推 推 推 → 推 推 推 推 → → → 推 推 推 推 → 噓 → 推 推 推 推 → → → 推 推 → → 推 → 噓 → → 推 推 推 → → 噓 → 推 推 推 → 推 推 → 推 推 → → → 推 噓 → → 推 推 推 推 → 推 → 推 噓 → → 噓 → 推 → → 推 推 → → → → 推 推 推 推 噓 → → → → → 噓 推 → 推 噓 噓 推 → 推 → 推 → → → 噓 推 推 噓 推 噓 噓 → 推 → → 推 噓 推 推 推 → → 噓 → 推 → → 噓 推 噓 → 推 推 推 → 推 推 噓 噓 → → 推 → 噓 推 推 → → → 推 → → 噓 推 → 推 推 噓 → 推 → 推 噓 噓 推 → 推 噓 → 推 → 推 → 推 → → → 推 推 推 推 推 噓 推 → 噓 → 推 推 → → 推 推 推 → 推 → 推 推 推 → → → → → 噓 推 → 推 噓 推 → 推 推 → 推 推 推 → → 噓 → 推 → → 推 → 噓 推 推 → 推 → 推 推 推 推 → → → 推 推 → 推 推 推 噓 → → 噓 推 推 噓 → 推 推 推 → 推 噓 推 噓 噓 → → → → 推 推 噓 噓 推 推 → → 推 推 推 → 噓 → 推 推 → → → 噓 → → → 推 → 推 推 推 推 → → → 推 → 推 推 → 噓 → → 推 → → 推 → 推 推 噓 推 推 噓 → 噓 → 推 推 → → 推 → 推 → 推 推 推 推 推 推 推 → 推 推 推 → 推 → 推 → 推 推 噓 → 推 → 噓 → 推 噓 推 → 噓 噓 推 → 推 噓 → → 推 推 → → → 噓 推 → 噓 推 噓 推 噓 推 → → → → 推 推 → 推 噓 推 → 推 噓 噓 → → → 噓 → 推 噓 噓 → → 噓 → 噓 噓 → → → 推 → → → → → → 推 → 推 噓 → 噓 → → 噓 → 推 → → 噓 → → → 噓 推 → 推 推 → 噓 推 → 推 推 → → → 噓 噓 噓 推 推 噓 推 → 噓 → → 推 推 推 噓 推 推 噓 推 推 推 噓 推 → → → 噓 → → 推 推 推 噓 推 → → → 噓 → → 推 推 推 推 噓 噓 推 → → 噓 推 → 噓 → 噓 → 推 → → 噓 噓 → 噓 → → 噓 推 → 推 噓 推 → → → 推 噓 推 推 噓 推 → 推 噓 噓 推 噓 推 → → → → 推 → 推 → 推 推 → 推 推 → → → → → 推 推 → 推 → 推 推 推 推 推 噓 → 噓 → 推 噓 噓 推 推 推 推 推 推 推 噓 推 → → → 推 噓 推 推 推 → → 噓  "
"[問卦] 要如何才能救國旅? ","



政府之前一直喊著救國旅,一下子補貼這補貼那的,
結果呢? 國旅還是一樣起不太來,台灣一年1100多萬的觀光客,
對於旅遊產業幫助有限,因此真正要帶動國旅還是必須靠本國人自己,
可是現在出國旅遊風氣如此盛行下,國旅還有救嗎?
大概也很難想出有效的方式了吧

--
 ","Wed Jul 17 22:50:45 2019 ","→ → → → → → → 推 推 → 推  "
"[問卦] 要是九面最後跟芒果在一起 台男怎麼反應 ","


網紅9面和女友分手

鬧得沸沸揚揚滿城風雨

無獨有偶就在這幾天陸續釋出和另一位youtuber

韓妞芒果的合作影片

芒果在台灣有廣大男性粉絲

要是最後9面和白嫩身材又好的芒果在一起

那台男會有甚麼反應呢?


--
 ","Wed Jul 17 22:51:18 2019 ","噓 噓 推 → 推 → → 推 → 噓 推 推 →  "
"Re: [問卦] 赤燭被鬧一場後就沒人理了嗎??? ","
起初，如果他們真的執意戰到底，不下架
大概會成為遊戲界的經典
為台灣遊戲產業添加一股新的助力

可惜，他們迅速低頭的下場
就跟簽和平協議沒兩樣，被吃夠夠



--
好主題，真的應該要有人出才對，記得要支援多國語言
故意出個簡體，五毛可能爆77
我記得之前恐怖分子也有利用戰爭遊戲來訓練士兵，內容添加了真實場地及各種狀況的戰術與槍枝應變
真主黨有利用射擊遊戲來訓練青少年，而且政府和恐怖分子也會利用遊戲來做諜報任務
 ","Wed Jul 17 22:51:54 2019 ","→ → 推 推 噓 推 →  "
"[新聞] 總統初選落幕 吳敦義：過程透明有如「天 ","
自由電子報

總統初選落幕 

〔記者施曉光／台北報導〕國民黨總統初選結果已經結束，國民黨今天召開初選後首次的

中常會。據發言人歐陽龍轉述，該，並強調國民黨過去從來沒有像這次多達5人角逐總統提名，而且初

選過程非常透明，全民都看得很清楚，，黨中央全力

辦好這場初選，就是要讓各界信服，結果具有公信力。

據轉述，吳敦義還說，初選結果只是邁出勝利的第一步，最終目標就是明年1月11日贏回

政權，讓所有中華民國國民能過好生活，國民黨的勝利，就是中華民國的勝利。

此外，國民黨中常委李昭平原本要在今日中常會提案建議黨中央將初選落敗的總統參選人

朱立倫、郭台銘列入不分區立委名單，藉此彌平初選裂痕，但在引發黨內爭議，黨中央也

不支持的壓力下，最後沒有送出提案。

歐陽龍會後低調表示，今日會中並沒有討論到李昭平的案，他並強調，有關不分區立委人

選，也必須經由當事人同意與溝通，黨中央也相信朱立倫、郭台銘、張亞中、周錫瑋等未

出線者，日後一定會支持國民黨，並在大選中團結在一起。


--



--
 ","Wed Jul 17 22:52:34 2019 ","噓 → → 噓 推 噓 → 推 推 噓 → 推 噓 → 噓 噓 噓 → 噓 → → → 噓 推 噓 推 噓 → → 噓 推 → 推 → → → 噓 噓  "
"Re: [問卦] uniqlo的男裝是不是有點宅 ","
我覺得T恤來說還好 版型因人而異

有些肩膀人比較寬 有些人身長比較長

但論外套的話Uniqlo還真的要加強

雖然這兩年秋冬有看到他們出風衣了

不過基本上外套的款式還是偏少

畢竟台灣很熱 通常熱的時候都穿一件而已

到了冬天比較冷才有機會多穿一點

這時候男生穿搭的差異才會出現

至於原文很多人說的臉和那些照片的狀況

我認為問題出在於: 太極端

那些照片都特別好看vs普通或醜的人

但路上的人基本上不要有缺陷的話

整理頭髮完都人模人樣的

所以除非你真的長得太醜或有缺陷

髮型和穿搭都是加分很多而且CP值很高的事情

不要放棄

--
 ","Wed Jul 17 22:53:23 2019 "," "
"Re: [新聞] 海委會「裝幽默」貼文惹怒極限運動族 ","

阿弟仔，你講了部份的事實。

哥以前也玩過幾年玩得不好就是了。

請問一下，
你們準備了什麼安全措施？
有水上摩托車在待命救援嗎？

有的話，哥同意你玩。
不過，哥不同意，你還是會去玩啦，對吧？

哥雖然喜歡海，待在海上一段時間過，
特別喜歡教妹子衝浪，
看著妹子翹翹的屁股，
幫她們推板子一點都不累了。
扯遠了，
可是，待得越久，
越知道
不要鐵齒
不要鐵齒
不要鐵齒。

一個夏天可以弄破額頭變哈利波特
加
撞破嘴巴，
兩次都去杏和縫針。
這都是浪不大，哥覺得安全時
發生的事情。
醫生也見怪不怪了。

哥還幫過好幾個划不回去岸邊的菜鳥安全回去，
還看過一個熟手阿姐大腿被劃出20公分傷口，
還看過幾個被抬上岸還好沒死的。
”幹！到底怎麼弄的“
是當時看到時的心聲。
久了就知道，太多你想不到的事了。
都不是颱風天喔。

廚師界有句話說：
上手不切手
下收不切手
很厲害的跟很菜的都不會切到手的意思。

請問，
你是很厲害的，
還是很菜的，
才覺得安全？

待得夠久，
你就不會覺得大海是安全的。

哥以前每次出門都抱著可能這次回不了家的心態去玩。
對啦，颱風天才會浪大，廢話！
啊人家嗆說颱風天救不了人，
難道不是實話嗎？

造成別人麻煩時，就低調一點，
不要一副自己很有理，
Everything is under control的樣子。
You control nothing，ok？
被人家念，就乖乖接受。
以後有機會，你還是會去衝的，不是嗎？

祝平安。


--
 ","Wed Jul 17 22:53:31 2019 ","推 推 → 推 推 推 推 推 → → 推 → → 推 推 → 推 推 → → → 推 → 推 推 推 推 推 推 → 推 → 推 → → → → 推 推 推 → 推 噓 → 推 推 推 推 推 推 推 推 推 推 → 推 推 推 推 推 推 推 推 → 推 → 推 推 推 → 推 推 推 推 推 推 推 推 → 推 推 推 推 推 → 推 推 推 推 推 推 推 推 推 推 → 推 推 → 推 推 推 推 推 噓 → → 推 推 → 推 推 推 → → 推 推 推 推 推 → → → → 推 推 推 推 → 推 推 推 → 推  "
